timestamp,course_url,title,headline,is_bestseller,rating,num_reviews,num_students,instructor,language,price,discount,related_topics,sections,lectures,total_length
2025-10-07 06:17:42,https://www.udemy.com/course/generative-ai-for-beginners-chatbots-rag-mcp-ai-agents/,"Complete Generative AI Course: RAG, AI Agents & Deployment","Learn Generative AI from scratch – Build RAG, AI Agents & Chatbots, master MCP, and deploy real-world projects",Yes,4.7,67,521,Siddhardhan,English,279000.0,73%,"Generative AI (GenAI), Data Science, Development",10.0,61.0,17h 31m
2025-10-07 06:18:00,https://www.udemy.com/course/scale-deploy-ai-agents-with-azure-container-apps-aca/,Azure AI Agents with Azure Container Apps (Deploy at Scale),"Deploy, scale, and productionize Azure AI Agents using Azure Container Apps with real-world cloud practices.",Yes,5.0,29,35,Kuljot,English,279000.0,64%,"Other IT & Software, IT & Software",8.0,29.0,7h 22m
2025-10-07 06:18:17,https://www.udemy.com/course/sveltekit-runes-mastery/,SvelteKit 5 Runes Mastery: Deploy Full Stack Netlify/Mongodb,"Build secure, scalable, optimized, responsive full-stack apps with authentication, CRUD, serverless functions and APIs.",Yes,0.0,2,0,Patrick,English,799000.0,,"Web Development, Development",9.0,52.0,5h 25m
2025-10-07 06:18:33,https://www.udemy.com/course/advanced-jenkins-for-k8s-aws-eks-efs-docker-in-docker/,"Advanced Jenkins for K8s (AWS EKS, EFS, PV,Docker in Docker)","Learn how to deploy Jenkins CI/CD pipeline as a pod in k8s cluster. AWS IRSA, EFS, persistent volume, etc",No,3.4,3,54,CSCareerKaizen.com,English,279000.0,30%,"Jenkins, Other IT & Software, IT & Software",14.0,25.0,2h 55m
2025-10-07 06:18:51,https://www.udemy.com/course/complete-generative-ai-course-with-langchain-and-huggingface/,Complete Generative AI Course With Langchain and Huggingface,"Complete Guide to Building, Deploying, and Optimizing Generative AI with Langchain and Huggingface",Yes,4.5,"2,711","94,037",Krish,English,319000.0,78%,"Generative AI (GenAI), Data Science, Development",50.0,208.0,54h 13m
2025-10-07 06:19:08,https://www.udemy.com/course/docker-mastery-for-beginners-build-ship-deploy-apps/,Ultimate Docker Bootcamp: Beginner to Advanced,"Build, Ship, and Deploy with Docker using 40+ Hands-On Demos, 2 Projects, Quizzes & Assignments, 340 Pages Guide",No,5.0,7,66,DolfinED,English,279000.0,64%,"Docker, Other IT & Software, IT & Software",15.0,114.0,14h 55m
2025-10-07 06:19:22,https://www.udemy.com/course/deploy-spring-boot-microservices-on-aws-ecs-with-fargate/,Deploy Spring Boot Microservices on AWS ECS with Fargate,"Course covers Auto Scaling, Load Balancing, Centralized Configuration, Route 53, SSL & HTTPs, Docker Images, and CI/CD",Yes,4.8,559,"4,841",Sergey,English,309000.0,76%,"Spring Boot, Web Development, Development",15.0,100.0,7h 37m
2025-10-07 06:19:38,https://www.udemy.com/course/model-context-protocol/,MCP Crash Course: Complete Model Context Protocol in a Day,"Build, Connect, Deploy: Master MCP Servers, MCP Clients, Tools & Resources for Powerful LLM Applications",Yes,4.5,"2,445","22,081",Eden,English,299000.0,25%,"Model Context Protocol (MCP), Other IT & Software, IT & Software",14.0,79.0,7h 6m
2025-10-07 06:19:55,https://www.udemy.com/course/definitive-helm-course-beginner-master/,Helm: The Definitive Guide from Beginner to Master,"Install, manage, create, and deploy Helm charts in Kubernetes clusters! Learn the Helm CLI, Hooks, Plugins and more!",Yes,4.7,503,"5,592",Lauro,English,279000.0,70%,"Helm, Other IT & Software, IT & Software",10.0,92.0,10h 31m
2025-10-07 06:20:13,https://www.udemy.com/course/deploy-a-django-web-app-with-nginx-and-amazon-ecs-2022/,Deploy a Django web app with Nginx and Amazon ECS - 2025,Create a Django web app with Docker and Nginx | Setup a reverse proxy | Deployment with Amazon ECS - EC2 launch type,No,4.8,79,787,Arno,English,299000.0,80%,"Django, Web Development, Development",13.0,81.0,6h 36m
2025-10-07 06:20:32,https://www.udemy.com/course/gcp-google-kubernetes-engine-gke-with-devops/,GCP GKE Google Kubernetes Engine DevOps 75 Real-World Demos,"Master GCP GKE Key concepts Kubernetes Clusters, Storage, Ingress, Services, Pods, Deployments, Autoscaling, LB, DevOps",No,4.4,747,"8,211",Kalyan,English,359000.0,82%,"Kubernetes, Other IT & Software, IT & Software",69.0,200.0,26h 11m
2025-10-07 06:21:20,https://www.udemy.com/course/deploying-net-microservices-with-k8s-aks-and-azure-devops/,"Deploying .Net Microservices with K8s, AKS and Azure DevOps","Deploying .Net Microservices to Kubernetes, move cloud Azure Kubernetes Services(AKS), Automating with Azure DevOps",No,4.3,275,"11,848",Mehmet,English,399000.0,80%,"Azure DevOps, Kubernetes, Microservices, Azure Kubernetes Service (AKS), Other IT & Software",12.0,110.0,10h 15m
2025-10-07 06:21:37,https://www.udemy.com/course/flux-cd-mastery-automating-kubernetes-with-gitops/,Flux CD Mastery: Automating Kubernetes with GitOps,Accelerate Kubernetes Deployments & CI/CD with Flux CD: Harness GitOps Automation for Efficient Container Orchestration,Yes,4.3,294,"3,455",Ahmed,English,329000.0,77%,"GitOps, Software Development Tools, Development",7.0,41.0,5h 25m
2025-10-07 06:21:56,https://www.udemy.com/course/kubernetes-training-learn-kubernetes-from-zero-to-cloud/,Kubernetes Training: Learn K8s from Zero to Cloud,Develop and Deploy Cloud Native Applications at Scale with Kubernetes,Yes,4.7,455,"4,452",Jose,English,289000.0,28%,"Kubernetes, Software Engineering, Development",23.0,58.0,6h 57m
